"","Taxa","Yield","Protein","Oil","Seedsize","Height","Maturity"
"135","DS11-03009",5047.716113,38.58032304,21.54905689,16.9521163,96.28484606,1003.940767
"136","DS11-03010",5540.316113,38.6969897,21.29905689,17.78544963,101.7292905,1009.282448
"137","DS11-03011",5149.416113,39.7969897,21.23239023,17.28544963,91.06262384,1001.2741
"138","DS11-03012",5636.816113,39.66365637,21.69905689,17.73544963,107.5070683,1013.032448
"139","DS11-03013",5240.416113,39.2969897,21.73239023,17.0021163,118.9515127,1004.2741
"140","DS11-03014",5674.816113,39.88032304,20.99905689,17.91878296,105.3959572,1015.657448
"141","DS11-03015",5508.716113,38.6969897,21.73239023,19.86878296,112.173735,1012.157448
"142","DS11-03016",4994.116113,38.8969897,21.66572356,18.68544963,106.3959572,1009.657448
"143","DS11-03017",5345.216113,38.88032304,21.59905689,19.0021163,95.84040162,1010.282448
"144","DS11-03018",4811.316113,38.06365637,22.14905689,19.18544963,84.6181794,1006.532448
"145","DS11-03019",5377.116113,38.88032304,21.14905689,18.31878296,101.8404016,1015.782448
"146","DS11-03020",5643.716113,38.9969897,21.36572356,17.78544963,102.173735,1007.940767
"147","DS11-03021",5356.416113,38.08032304,21.94905689,18.2021163,105.2848461,1001.940767
"148","DS11-03022",5206.616113,36.68032304,23.03239023,17.6021163,102.173735,1008.782448
"149","DS11-03023",5171.616113,37.31365637,22.39905689,18.06878296,95.39595717,1010.032448
"150","DS11-03024",5287.416113,39.76365637,21.38239023,18.33544963,105.173735,1011.032448
"151","DS11-03025",5258.116113,38.3969897,21.58239023,20.2021163,96.6181794,1003.718545
"152","DS11-03026",5481.116113,39.31365637,21.61572356,20.06878296,96.39595717,1001.718545
"153","DS11-03027",5213.116113,38.9469897,21.94905689,19.46878296,92.50706828,1010.532448
"154","DS11-03029",5323.116113,38.76365637,21.94905689,17.33544963,102.0626238,1009.532448
"155","DS11-03030",5054.516113,38.81365637,22.16572356,19.76878296,109.3959572,998.4963225
"156","DS11-03031",5807.216113,38.3469897,21.73239023,20.71878296,99.84040162,1014.032448
"157","DS11-03032",5509.416113,38.93032304,21.71572356,21.7521163,116.173735,1001.607434
"159","DS11-03034",5118.616113,37.48032304,22.43239023,20.7021163,89.39595717,1002.718545
"160","DS11-03036",5631.416113,38.5469897,21.88239023,18.78544963,110.8404016,1005.607434
"161","DS11-03037",5525.216113,38.98032304,21.29905689,18.58544963,106.5070683,1014.407448
"162","DS11-03038",5152.116113,38.91365637,22.24905689,17.61878296,100.0626238,1002.385211
"163","DS11-03039",5313.716113,38.9969897,22.23239023,17.66878296,105.7292905,1011.532448
"164","DS11-03041",5280.016113,38.63032304,21.44905689,17.66878296,110.6181794,1001.051878
"165","DS11-03044",5278.816113,37.16365637,22.13239023,19.03544963,113.3959572,1001.2741
"166","DS11-03045",5204.316113,40.26365637,20.88239023,15.8521163,103.5070683,1001.385211
"167","DS11-03047",5643.016113,39.48032304,20.86572356,17.21878296,116.0626238,1004.607434
"168","DS11-03048",5206.516113,38.66365637,21.83239023,16.78544963,108.8404016,1003.496322
"169","DS11-03050",5231.716113,40.6469897,20.73239023,17.81878296,103.6181794,1003.829656
"170","DS11-03052",5409.816113,38.3469897,22.36572356,18.71878296,100.8404016,1000.718545
"172","DS11-03055",5664.716113,38.81365637,21.83239023,20.46878296,104.173735,1002.2741
"173","DS11-03057",5445.916113,37.93032304,22.36572356,20.61878296,98.6181794,997.9407669
"174","DS11-03058",5571.716113,38.91365637,21.79905689,16.68544963,108.7292905,1011.092715
"175","DS11-03059",5296.616113,37.38032304,22.58239023,16.9521163,108.7292905,1000.496322
"177","DS11-03064",5688.016113,38.81365637,21.54905689,19.21878296,112.0626238,1003.2741
"178","DS11-03065",5160.116113,38.36365637,22.03239023,16.9021163,106.9515127,998.7185447
"179","DS11-03066",5606.716113,39.11365637,21.49905689,18.1521163,111.2848461,1002.2741
"180","DS11-03067",5527.316113,39.43032304,21.19905689,17.83544963,99.6181794,1000.607434
"181","DS11-03070",5345.316113,37.56365637,21.54905689,18.58544963,98.95151273,999.7185447
"182","DS11-03071",5650.316113,38.51365637,22.59905689,19.61878296,114.9515127,1003.940767
"183","DS11-03072",5517.416113,38.93032304,21.59905689,19.91878296,115.2848461,1002.2741
"184","DS11-03074",5430.916113,38.36365637,22.13239023,20.36878296,100.5070683,1001.051878
"185","DS11-03075",5482.716113,38.1969897,21.96572356,19.31878296,94.84040162,1002.718545
"186","DS11-03076",5111.316113,37.26365637,22.44905689,17.26878296,94.50706828,997.6074336
"187","DS11-03077",5087.016113,39.26365637,21.44905689,18.41878296,116.7292905,1001.162989
"188","DS11-03078",5323.116113,38.93032304,21.44905689,19.6021163,127.6181794,1005.718545
"189","DS11-03079",5567.916113,39.31365637,20.84905689,18.6021163,98.06262384,1004.385211
"190","DS11-03080",5370.416113,37.8469897,22.01572356,19.28544963,103.3959572,1000.162989
"191","DS11-03081",5450.516113,38.7469897,21.98239023,17.23544963,104.2848461,997.7185447
"192","DS11-03082",5494.216113,39.38032304,21.59905689,18.61878296,101.8404016,999.8296558
"193","DS11-03083",5479.716113,37.83032304,22.83239023,20.8021163,94.84040162,999.7185447
"194","DS11-03084",5484.416113,38.46365637,22.26572356,20.3521163,103.8404016,1000.718545
"195","DS11-03085",5296.216113,38.43032304,22.29905689,18.6021163,95.6181794,997.7185447
"196","DS11-03086",5166.216113,39.1469897,21.68239023,17.18544963,104.9515127,1001.718545
"197","DS11-03088",5708.616113,38.41365637,22.66572356,21.46878296,111.7292905,1000.385211
"198","DS11-03089",5660.416113,39.03032304,21.56572356,20.2521163,105.5070683,1004.496322
"199","DS11-03104",5863.198578,42.59514251,22.00036524,18.49946995,107.3934129,1040.080764
"200","DS11-03106",6012.484293,41.47014251,22.67536524,18.47446995,109.8934129,1042.24743
"201","DS11-03108",5669.341435,42.97014251,22.55036524,19.77446995,96.56007958,1041.080764
"202","DS11-03109",5774.055721,41.94514251,22.70036524,18.27446995,112.7267462,1042.914097
"203","DS11-03110",5834.198578,40.79514251,22.95036524,19.14946995,95.06007958,1041.080764
"204","DS11-03111",5882.912864,41.52014251,22.75036524,21.47446995,112.5600796,1040.74743
"205","DS11-03112",5614.62715,43.19514251,22.50036524,18.47446995,100.5600796,1038.914097
"206","DS11-03113",5793.055721,42.24514251,22.45036524,18.04946995,108.0600796,1039.580764
"207","DS11-03115",5738.912864,42.09514251,23.02536524,20.29946995,106.8934129,1038.24743
"208","DS11-03116",5684.198578,41.19514251,22.85036524,18.12446995,108.7267462,1036.74743
"209","DS11-03119",5760.055721,41.94514251,22.65036524,19.17446995,102.0600796,1037.580764
"210","DS11-03120",5461.055721,43.32014251,21.67536524,18.49946995,100.7267462,1041.580764
"211","DS11-03122",5869.055721,42.37014251,22.32536524,21.17446995,118.5600796,1042.414097
"212","DS11-03123",6040.912864,42.59514251,22.12536524,18.17446995,109.8934129,1044.080764
"213","DS11-03124",5310.770007,41.82014251,22.52536524,17.39946995,113.8934129,1041.414097
"214","DS11-03126",6078.341435,41.79514251,22.50036524,20.52446995,111.8934129,1041.080764
"215","DS11-03128",6129.198578,42.77014251,22.10036524,20.14946995,118.2267462,1065.855453
"216","DS11-03129",5794.62715,42.87014251,22.57536524,20.09946995,103.5600796,1040.74743
"217","DS11-03130",5686.912864,42.07014251,22.65036524,17.32446995,114.5600796,1037.74743
"218","DS11-03131",5690.770007,43.34514251,22.00036524,17.87446995,112.0600796,1039.914097
"219","DS11-03132",6201.912864,42.64514251,22.35036524,20.39946995,104.3934129,1045.080764
"220","DS11-03133",5642.055721,43.32014251,22.22536524,17.02446995,103.7267462,1036.74743
"221","DS11-03134",6070.912864,42.07014251,22.95036524,21.99946995,114.7267462,1042.080764
"222","DS11-03135",5892.198578,40.59514251,23.10036524,20.54946995,111.3934129,1041.080764
"223","DS11-03138",5761.198578,39.82014251,23.70036524,21.47446995,109.2267462,1039.24743
"224","DS11-03142",5901.484293,42.87014251,22.55036524,20.34946995,110.7267462,1043.74743
"225","DS11-03143",5745.770007,42.42014251,21.62536524,18.59946995,108.8934129,1043.74743
"226","DS11-03144",5656.770007,42.62014251,21.65036524,20.62446995,110.5600796,1043.414097
"227","DS11-03145",5917.055721,40.87014251,22.72536524,20.14946995,110.7267462,1041.74743
"228","DS11-03147",5672.341435,42.87014251,22.65036524,18.49946995,93.22674624,1035.580764
"229","DS11-03148",6268.770007,41.27014251,22.57536524,21.77446995,128.7267462,1045.74743
"230","DS11-03149",5761.912864,42.62014251,22.20036524,19.62446995,114.7267462,1041.914097
"231","DS11-03151",5953.341435,41.67014251,22.22536524,20.97446995,108.5600796,1039.414097
"232","DS11-03154",6016.055721,41.32014251,22.77536524,22.12446995,113.3934129,1039.74743
"233","DS11-03157",5639.62715,41.87014251,22.27536524,19.17446995,102.7267462,1043.24743
"234","DS11-03158",5222.527571,44.38011417,23.81808726,23.17854395,115.1557582,1026.761004
"235","DS11-03160",5713.305349,45.54678084,23.11808726,21.41187728,111.5307582,1014.566793
"236","DS11-03161",5764.860904,45.84678084,22.71808726,19.71187728,117.9057582,1011.066793
"237","DS11-03162",5611.638682,44.64678084,23.68475393,19.04521061,102.0307582,1010.066793
"238","DS11-03163",5694.972015,44.8134475,23.71808726,23.44521061,122.1557582,1015.066793
"239","DS11-03164",5394.171891,43.44678084,24.71808726,21.14521061,113.1557582,1010.816793
"240","DS11-03165",5369.691873,49.05651891,26.40276175,23.79249462,106.9057582,1022.761004
"241","DS11-03166",5241.083126,43.74678084,24.08475393,19.07854395,95.65575821,1010.566793
"242","DS11-03168",5579.638682,45.0134475,23.38475393,21.31187728,99.53075821,1012.441793
"243","DS11-03169",5590.749793,46.68011417,22.31808726,20.14521061,103.7807582,1013.941793
"244","DS11-03170",5955.194237,45.24678084,23.55142059,21.91187728,110.4057582,1023.618147
"245","DS11-03171",5664.527571,44.0134475,23.78475393,20.57854395,109.1557582,1027.046718
"246","DS11-03172",5654.638682,44.98011417,23.38475393,18.97854395,112.4057582,1013.441793
"247","DS11-03173",5607.527571,44.64678084,23.61808726,20.31187728,102.9057582,1026.903861
"248","DS11-03174",5820.749793,43.7134475,23.88475393,21.61187728,98.78075821,1013.941793
"249","DS11-03175",5868.860904,45.34678084,23.41808726,20.21187728,107.1557582,1021.903861
"250","DS11-03176",5352.41646,45.18011417,24.25142059,20.94521061,123.9057582,1023.618147
"251","DS11-03177",5516.860904,44.28011417,24.18475393,20.67854395,103.4057582,1011.816793
"252","DS11-03178",5485.816873,50.95651891,25.90276175,20.69249462,111.2807582,1023.618147
"253","DS11-03180",5425.194237,44.74678084,23.85142059,20.87854395,108.7807582,1014.691793
"254","DS11-03181",5466.083126,44.74678084,23.15142059,21.11187728,113.6557582,1026.189576
"255","DS11-03183",5589.083126,43.54678084,24.51808726,20.21187728,106.1557582,1009.941793
"256","DS11-03185",5613.305349,43.78011417,23.85142059,18.54521061,108.7807582,1009.941793
"257","DS11-03186",5825.083126,44.08011417,23.98475393,21.47854395,111.7807582,1026.332433
"258","DS11-03188",5324.527571,45.9134475,23.11808726,22.51187728,103.7807582,1025.761004
"259","DS11-03189",5569.638682,45.08011417,23.41808726,19.64521061,99.15575821,1022.046718
"260","DS11-03190",5468.972015,44.6134475,24.01808726,20.11187728,110.2807582,1026.189576
"261","DS11-03195",5403.41646,45.28011417,23.78475393,19.51187728,105.9057582,1011.441793
"262","DS11-03196",5609.860904,44.98011417,23.58475393,21.24521061,107.5307582,1013.691793
"263","DS11-03197",5257.41646,46.24678084,22.95142059,18.57854395,102.5307582,1022.903861
"264","DS11-03198",5349.860904,43.84678084,24.75142059,19.67854395,97.65575821,1022.046718
"265","DS11-03199",5379.638682,45.18011417,23.11808726,19.17854395,109.4057582,1024.332433
"266","DS11-03200",5095.749793,45.4134475,23.21808726,18.47854395,107.6557582,1010.941793
"267","DS11-03202",5646.41646,43.84678084,23.55142059,19.87854395,99.53075821,1012.816793
"268","DS11-03203",5409.305349,45.18011417,23.25142059,23.97854395,101.4057582,1014.441793
"5489","5M20-2-5-2",5142.307175,41.32742912,22.25379858,18.53017788,107.8342922,1016.189712
"269","DS11-04002",5385.416113,40.13032304,20.73239023,17.86878296,103.9515127,1006.162989
"270","DS11-04003",5042.416113,39.3469897,21.04905689,18.31878296,104.2848461,1003.940767
"271","DS11-04006",4851.016113,38.51365637,21.83239023,19.0021163,98.28484606,1005.940767
"272","DS11-04007",5325.016113,40.06365637,21.11572356,18.6021163,100.2848461,1003.718545
"273","DS11-04008",5170.216113,38.51365637,21.64905689,19.33544963,107.2848461,1002.718545
"274","DS11-04009",5062.516113,40.13032304,20.94905689,19.56878296,93.84040162,1005.162989
"275","DS11-04010",5118.016113,38.73032304,21.79905689,18.93544963,96.95151273,1000.607434
"276","DS11-04012",4890.416113,39.61365637,21.09905689,19.0021163,102.8404016,1003.940767
"277","DS11-04013",5123.716113,39.43032304,21.14905689,16.56878296,99.50706828,1002.162989
"278","DS11-04015",5123.916113,40.26365637,20.21572356,17.56878296,101.8404016,1006.496322
"279","DS11-04016",5000.616113,37.3969897,22.19905689,19.18544963,115.2848461,1002.607434
"280","DS11-04017",5080.916113,39.4469897,21.58239023,18.6521163,101.0626238,1005.385211
"281","DS11-04023",5053.816113,37.41365637,22.19905689,20.1521163,98.95151273,1001.162989
"282","DS11-04027",4818.116113,37.48032304,21.69905689,16.78544963,102.6181794,1003.162989
"283","DS11-04028",5268.516113,39.0969897,21.39905689,19.91878296,107.8404016,1002.162989
"284","DS11-04029",4871.916113,39.23032304,21.21572356,16.81878296,105.5070683,1004.496322
"285","DS11-04030",5137.216113,39.5969897,20.94905689,17.33544963,104.0626238,1003.607434
"286","DS11-04032",4960.016113,39.63032304,20.96572356,16.9521163,110.3959572,1005.496322
"287","DS11-04033",5048.716113,38.58032304,21.96572356,19.06878296,92.28484606,1001.2741
"288","DS11-04035",5155.116113,38.5969897,21.38239023,18.78544963,109.3959572,1005.496322
"289","DS11-04036",5161.616113,37.91365637,21.43239023,17.88544963,103.9515127,1003.496322
"290","DS11-04037",5376.716113,39.23032304,21.24905689,17.31878296,103.8404016,1003.607434
"291","DS11-04039",4889.216113,38.8469897,21.78239023,18.8521163,108.8404016,1002.496322
"292","DS11-04040",5293.016113,39.48032304,21.41572356,19.38544963,101.3959572,1005.718545
"293","DS11-04041",5188.716113,38.8469897,20.78239023,19.0521163,110.6181794,1007.829656
"294","DS11-04043",4719.516113,40.96365637,20.23239023,17.26878296,107.9515127,1016.369815
"295","DS11-04044",5106.516113,38.68032304,21.43239023,17.48544963,97.6181794,1000.718545
"296","DS11-04045",5226.616113,39.06365637,21.21572356,17.93544963,106.173735,1004.2741
"297","DS11-04047",5016.916113,39.33032304,20.63239023,18.26878296,105.173735,1004.829656
"298","DS11-04048",5058.416113,38.5969897,21.36572356,18.01878296,108.3959572,1005.718545
"299","DS11-04049",5286.416113,38.16365637,21.66572356,17.73544963,102.9515127,1002.385211
"300","DS11-04050",5147.516113,40.36365637,20.46572356,18.9521163,107.3959572,1003.051878
"301","DS11-04051",4842.316113,38.61365637,21.43239023,16.46878296,98.50706828,1004.829656
"303","DS11-04053",4932.316113,38.6969897,21.48239023,18.93544963,93.06262384,1004.162989
"304","DS11-04054",5337.116113,40.01365637,21.31572356,20.1521163,95.06262384,1012.782448
"305","DS11-04055",5474.616113,38.51365637,21.81572356,20.4521163,99.50706828,1012.532448
"306","DS11-04056",5536.616113,39.6969897,20.96572356,19.1021163,102.7292905,1012.407448
"307","DS11-04058",5171.616113,37.5469897,22.14905689,17.5021163,98.84040162,1011.282448
"308","DS11-04059",5412.716113,40.5969897,21.19905689,17.88544963,117.9515127,1004.2741
"309","DS11-04060",5177.016113,40.13032304,20.59905689,19.73544963,113.2848461,1012.907448
"310","DS11-04061",5409.916113,40.21365637,21.26572356,19.33544963,107.173735,1003.2741
"311","DS11-04062",5040.016113,38.66365637,21.36572356,17.06878296,102.3959572,1011.657448
"312","DS11-04063",5491.316113,38.7969897,21.49905689,18.63544963,99.50706828,1004.051878
"313","DS11-04064",5317.816113,39.63032304,21.64905689,19.38544963,105.9515127,1012.532448
"314","DS11-04068",5082.616113,39.51365637,20.53239023,16.11878296,98.50706828,1010.907448
"315","DS11-04069",5159.616113,38.56365637,21.76572356,18.0521163,98.6181794,1003.162989
"316","DS11-04072",5020.016113,39.6969897,21.23239023,18.9521163,112.7292905,1005.718545
"317","DS11-04073",5190.816113,39.1469897,21.34905689,18.51878296,102.9515127,1004.718545
"318","DS11-04074",5448.216113,39.6469897,21.08239023,19.23544963,97.95151273,1000.496322
"319","DS11-04075",5348.816113,38.58032304,21.16572356,17.98544963,99.72929051,1005.385211
"320","DS11-04078",5356.116113,39.21365637,21.29905689,17.48544963,100.7292905,1015.407448
"321","DS11-04079",5284.016113,38.56365637,21.41572356,18.03544963,98.72929051,1011.907448
"322","DS11-04080",5394.916113,39.4469897,21.24905689,17.21878296,102.2848461,1005.162989
"323","DS11-04082",5113.016113,40.41365637,21.19905689,17.28544963,101.0626238,1001.162989
"324","DS11-04084",5050.316113,40.7969897,20.83239023,18.9021163,94.6181794,1012.407448
"325","DS11-04085",5357.816113,40.63032304,20.59905689,18.48544963,100.7292905,1014.157448
"326","DS11-04089",5231.116113,39.43032304,21.38239023,16.81878296,91.50706828,1001.2741
"327","DS11-04090",5207.616113,39.18032304,20.93239023,16.96878296,91.84040162,1000.2741
"328","DS11-04091",5125.516113,39.88032304,21.13239023,20.01878296,106.7292905,1002.829656
"329","DS11-04092",5279.116113,38.93032304,21.71572356,18.6521163,102.5070683,1000.496322
"330","DS11-04094",5137.116113,38.91365637,21.41572356,18.01878296,101.2848461,1002.718545
"331","DS11-04095",5470.716113,39.48032304,21.33239023,20.96878296,109.8404016,1003.829656
"332","DS11-04096",5244.016113,40.4469897,20.61572356,18.33544963,104.0626238,1001.2741
